name,desc,price,img
Kia K5 III Седан,"2019 г., 2 л., автомат, седан, бензин, руль слева, 28 000 км",$ 26 500,https://im.mashina.kg/tachka/images//6/8/9/68945b5c083e49356a57ae701108c26e_240x180.jpg
Kia Carnival,"2017 г., 2.2 л., автомат, минивэн, дизель, руль слева, 178 000 км",$ 25 600,https://im.mashina.kg/tachka/images//e/9/8/e982405e2ae918a5aa8f934c87317406_240x180.jpg
Lexus LX,"2003 г., 4.7 л., автомат, внедорожник 5 дв., бензин, руль слева, 230 000 км",$ 21 300,https://im.mashina.kg/tachka/images//0/1/e/01ea027f3c9db7d25e09c6d37a12d430_240x180.jpg
BMW X5,"2019 г., 3 л., автомат, внедорожник 5 дв., бензин, руль слева, 134 000 км",$ 60 000,https://im.mashina.kg/tachka/images//c/b/8/cb8942ae129503f603d379078d9564bc_240x180.jpg
Toyota Highlander,"2012 г., 3.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 240 000 км",$ 23 500,https://im.mashina.kg/tachka/images//5/b/3/5b35f9443b3362e7d2d949ff65799311_240x180.jpg
BMW 7 серии,"2016 г., 3 л., автомат, седан, бензин, руль слева, 97 000 км",$ 48 000,https://im.mashina.kg/tachka/images//d/d/0/dd01ef69f31721b4151ad0fde05ce46f_240x180.jpg
Lexus RX,"2023 г., 2.4 л., автомат, внедорожник 5 дв., бензин, руль слева, 20 км",$ 92 000,https://im.mashina.kg/tachka/images//4/4/8/44822d52d4dcde6e7294c54e74c45839_240x180.jpg
Hyundai Santa Cruz,"2022 г., 2.5 л., автомат, пикап двойная кабина, бензин, руль слева, 5 300 км",$ 65 000,https://im.mashina.kg/tachka/images//6/2/b/62bddb2b3294366436fa0de1058c50a8_240x180.jpg
Kia Stinger,"2017 г., 3.3 л., автомат, лифтбек, бензин, руль слева, 117 000 км",$ 31 000,https://im.mashina.kg/tachka/images//3/e/8/3e8da39e556b5356ed6b6dc1c8a2ccd8_240x180.jpg
Lexus RX,"2020 г., 3.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 40 000 км",$ 71 000,https://im.mashina.kg/tachka/images//e/d/9/ed973381501597458e0dc4c7b50d9ce2_240x180.jpg
Toyota Camry,"2023 г., 2.5 л., автомат, седан, бензин, руль слева",$ 39 500,https://im.mashina.kg/tachka/images//f/9/f/f9f5f2dab98275580008e396e5ed6ecd_240x180.jpg
Lexus RX,"2002 г., 3 л., автомат, внедорожник 5 дв., бензин, руль слева, 199 000 км",$ 12 500,https://im.mashina.kg/tachka/images//c/5/4/c54597864b4eadbb5aab46cf39641370_240x180.jpg
BMW X7,"2020 г., 4.4 л., автомат, внедорожник 5 дв., бензин, руль слева, 30 000 км",$ 145 000,https://im.mashina.kg/tachka/images//1/6/5/1654b9b5c4719b24514751df46727cd2_240x180.jpg
Lexus GX,"2020 г., 4.6 л., автомат, внедорожник 5 дв., бензин, руль слева, 20 000 км",$ 95 000,https://im.mashina.kg/tachka/images//1/b/9/1b90dc7e89859895ce85e52545c3860d_240x180.jpg
Lexus RX,"2020 г., 3.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 100 000 км",$ 59 900,https://im.mashina.kg/tachka/images//7/0/3/7031c7125779cc1f391b8bf0bf141070_240x180.jpg
Land Rover Range Rover,"2006 г., 4.2 л., автомат, внедорожник 5 дв., бензин, руль слева, 210 000 км",$ 11 800,https://im.mashina.kg/tachka/images//7/f/7/7f7213786af64cfd1d96439cbcf01bef_240x180.jpg
Hyundai Sonata,"2019 г., 2 л., автомат, седан, бензин, руль слева, 39 700 км",$ 24 900,https://im.mashina.kg/tachka/images//4/e/7/4e7417bf32b105c3648c08c9eb31e77a_240x180.jpg
Mercedes-Benz S-класс AMG,"2003 г., 5.4 л., автомат, седан, бензин, руль слева, 181 000 км",$ 20 000,https://im.mashina.kg/tachka/images//1/2/9/1297e64ae6f749690c0d25e8c9935d4b_240x180.jpg
Toyota Sequoia,"2010 г., 5.7 л., автомат, внедорожник 5 дв., бензин, руль слева, 29 000 км",$ 28 500,https://im.mashina.kg/tachka/images//9/0/8/90839a739a63f6152d43a5bb2deb8fee_240x180.jpg
